Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recov,Active_cases,Serious_critical,Total_cases_1mio,Deaths_1miopop,Total_tests,Tests_1miopop
Armenia,"3,392",79,"46 ",1,"1,359","1,987",10,"1,145",16,"32,561","10,988"
Hungary,"3,284",21,"421 ",8,958,"1,905",42,340,44,"112,165","11,611"
Thailand,"3,015",6,"56 ",,"2,796",163,61,43,0.8,"227,860","3,264"
Iraq,"2,767",,"109 ",,"1,734",924,,69,3,"127,153","3,161"
Greece,"2,716",,"151 ",,"1,374","1,191",30,261,14,"98,897","9,488"
Cameroon,"2,579",,"114 ",,"1,465","1,000",28,97,4,,
Bolivia,"2,556",119,"118 ",4,273,"2,165",3,219,10,"7,651",655
Azerbaijan,"2,519",,"32 ",,"1,650",837,33,248,3,"193,411","19,076"
Uzbekistan,"2,482",64,"10 ",,"1,982",490,8,74,0.3,"325,000","9,710"
Croatia,"2,196",9,"91 ",1,"1,784",321,13,535,22,"44,886","10,934"
Guinea,"2,146",,"11 ",,714,"1,421",,163,0.8,,
"Bosnia and Herzegovina","2,141",24,"113 ",6,"1,114",914,4,653,34,"42,318","12,899"
Bulgaria,"1,981",16,"91 ",,461,"1,429",58,285,13,"57,634","8,295"
Honduras,"1,972",142,"108 ",,203,"1,661",10,199,11,"5,653",571
Senegal,"1,886",177,"19 ",,715,"1,152",6,113,1,"18,969","1,133"
Iceland,"1,801",,"10 ",,"1,773",18,,"5,278",29,"54,195","158,816"
Cuba,"1,766",,"77 ",,"1,193",496,5,156,7,"67,335","5,945"
Estonia,"1,741",2,"61 ",1,751,929,5,"1,312",46,"63,964","48,219"
"Ivory Coast","1,700",,"21 ",,794,885,,64,0.8,"13,663",518
"North Macedonia","1,664",22,"91 ",,"1,200",373,21,799,44,"19,241","9,235"
"New Zealand","1,497",3,"21 ",,"1,386",90,2,310,4,"194,191","40,270"
Lithuania,"1,485",6,"50 ",,833,602,17,545,18,"186,565","68,532"
Slovenia,"1,460",3,"102 ",,256,"1,102",10,702,49,"63,365","30,480"
Slovakia,"1,457",,"26 ",,959,472,5,267,5,"120,645","22,098"
Sudan,"1,365",,"70 ",,149,"1,146",,31,2,,
Djibouti,"1,210",,"3 ",,847,360,,"1,225",3,"15,304","15,490"
Somalia,"1,054",,"51 ",,118,885,2,66,3,,
Guatemala,"1,052",85,"26 ",2,110,916,5,59,1,"7,200",402
"Hong Kong","1,048",,"4 ",,985,59,1,140,0.5,"168,291","22,448"
Tunisia,"1,032",,"45 ",,700,287,11,87,4,"32,818","2,777"
Mayotte,"1,023",,"11 ",,492,520,9,"3,750",40,"4,000","14,662"
Kyrgyzstan,"1,016",14,"12 ",,688,316,13,156,2,"59,490","9,118"
DRC,991,,"41 ",,136,814,,11,0.5,,
"El Salvador",958,69,"17 ",,325,616,4,148,3,"43,043","6,636"
Latvia,946,7,"18 ",,464,464,2,502,10,"77,147","40,901"
Cyprus,898,,"16 ",,401,481,10,744,13,"76,139","63,062"
Albania,872,4,"31 ",,654,187,7,303,11,"10,559","3,669"
"Sri Lanka",863,7,"9 ",,343,511,1,40,0.4,"36,605","1,709"
Maldives,862,27,"3 ",,29,830,2,"1,595",6,"11,775","21,784"
Lebanon,859,14,"26 ",,234,599,4,126,4,"51,731","7,579"
Niger,821,,"46 ",,624,151,,34,2,"5,562",230
"Costa Rica",792,,"7 ",1,501,284,6,155,1,"17,170","3,371"
Andorra,755,,"48 ",,550,157,14,"9,772",621,"1,673","21,653"
"Burkina Faso",751,,"49 ",,577,125,,36,2,,
Guinea-Bissau,726,,"3 ",,26,697,,369,2,"1,500",762
Paraguay,713,,"10 ",,165,538,,100,1,"15,446","2,166"
"Diamond Princess",712,,"13 ",,651,48,4,,,,
Uruguay,707,,"19 ",,517,171,8,204,5,"28,024","8,067"
Mali,704,,"38 ",,351,315,,35,2,"2,172",107
Kenya,700,28,"32 ",,239,429,1,13,0.6,"31,041",577
Tajikistan,661,49,"21 ",1,,640,,69,2,,
Gabon,661,,"8 ",,110,543,1,297,4,724,325
Georgia,638,3,"11 ",1,317,310,6,160,3,"29,736","7,454"
"San Marino",628,,"41 ",,130,457,2,"18,508","1,208","2,985","87,973"
"Channel Islands",545,,"41 ",,447,57,,"3,135",236,"5,342","30,725"
Jordan,540,,"9 ",,389,142,5,53,0.9,"111,285","10,907"
Tanzania,509,,"21 ",,183,305,7,9,0.4,,
Malta,503,7,"5 ",,434,64,,"1,139",11,"43,397","98,285"
Jamaica,502,4,"9 ",,90,403,,170,3,"7,101","2,398"
Taiwan,440,,"7 ",1,368,65,,18,0.3,"67,400","2,830"
"Equatorial Guinea",439,,"4 ",,13,422,,313,3,854,609
Réunion,436,," ",,354,82,5,487,,"17,200","19,211"
Venezuela,414,,"10 ",,193,211,2,15,0.4,"512,181","18,012"
Palestine,375,,"2 ",,301,72,,74,0.4,"34,511","6,765"
"Sierra Leone",338,31,"19 ",1,72,247,,42,2,,
Mauritius,332,,"10 ",,322,0,,261,8,"69,773","54,863"
"Isle of Man",330,,"23 ",,271,36,21,"3,881",270,"3,773","44,371"
Montenegro,324,,"9 ",,290,25,2,516,14,"7,816","12,445"
Chad,322,,"31 ",,53,238,,20,2,,
Benin,319,,"2 ",,62,255,,26,0.2,"19,474","1,606"
Vietnam,288,," ",,249,39,2,3,,"261,004","2,681"
Rwanda,284,," ",,140,144,,22,,"42,425","3,276"
Congo,274,,"10 ",,33,231,,50,2,,
Zambia,267,,"7 ",,117,143,1,15,0.4,"10,270",559
Ethiopia,250,11,"5 ",,105,140,1,2,0.04,"36,624",319
"Cabo Verde",246,,"2 ",,56,188,,442,4,791,"1,423"
"Sao Tome and Principe",208,,"5 ",,4,199,,949,23,175,799
Liberia,199,,"20 ",,79,100,,39,4,,
Madagascar,193,," ",,101,92,1,7,,"3,968",143
Martinique,187,1,"14 ",,83,90,4,498,37,,
"Faeroe Islands",187,," ",,187,0,,"3,827",,"8,450","172,932"
Haiti,182,,"15 ",,17,150,,16,1,"1,296",114
Myanmar,180,,"6 ",,72,102,,3,0.1,"11,222",206
Togo,174,,"11 ",,89,74,,21,1,"10,377","1,253"
Eswatini,172,,"2 ",,27,143,,148,2,714,615
"South Sudan",156,36," ",,2,154,,14,,"1,247",111
Guadeloupe,154,,"13 ",,104,37,4,385,32,,
Gibraltar,146,," ",,143,3,,"4,334",,"4,099","121,665"
"French Guiana",144,,"1 ",,122,21,,482,3,,
CAR,143,," ",,10,133,,30,,"3,498",724
"Brunei ",141,,"1 ",,134,6,2,322,2,"15,898","36,340"
Cambodia,122,," ",,120,2,1,7,,"14,094",843
Nepal,121,11," ",,33,88,,4,,"73,566","2,525"
Uganda,121,," ",,55,66,,3,,"58,606","1,281"
Bermuda,118,,"7 ",,64,47,4,"1,895",112,"4,020","64,549"
"Trinidad and Tobago",116,,"8 ",,107,1,,83,6,"2,307","1,648"
Guyana,104,,"10 ",,35,59,6,132,13,914,"1,162"
Aruba,101,,"3 ",,89,9,4,946,28,"1,874","17,552"
Monaco,96,,"4 ",,82,10,1,"2,446",102,,
Bahamas,92,,"11 ",,37,44,1,234,28,"1,500","3,814"
Mozambique,91,," ",,34,57,,3,,"3,923",126
Barbados,84,,"7 ",,57,20,4,292,24,"2,990","10,405"
Liechtenstein,82,,"1 ",,55,26,,"2,151",26,900,"23,605"
"Cayman Islands",81,,"1 ",,41,39,3,"1,232",15,"3,423","52,083"
"Sint Maarten",76,,"15 ",,46,15,7,"1,773",350,329,"7,673"
Libya,64,,"3 ",,24,37,,9,0.4,"3,093",450
"French Polynesia",60,," ",,56,4,1,214,,"2,950","10,502"
Malawi,56,,"3 ",,14,39,1,3,0.2,"1,188",62
Yemen,51,,"8 ",,1,42,,2,0.3,120,4
Syria,47,,"3 ",,29,15,,3,0.2,,
Angola,45,2,"2 ",,13,30,,1,0.06,"3,000",91
Macao,45,," ",,40,5,1,69,,,
Mongolia,42,," ",,14,28,2,13,,"9,707","2,961"
"Saint Martin",39,,"3 ",,30,6,1,"1,009",78,,
Eritrea,39,," ",,37,2,,11,,,
Zimbabwe,36,,"4 ",,9,23,,2,0.3,"20,537","1,382"
"Antigua and Barbuda",25,,"3 ",,19,3,1,255,31,183,"1,869"
Botswana,24,1,"1 ",,12,11,,10,0.4,"9,540","4,057"
Timor-Leste,24,," ",,21,3,,18,,738,560
Grenada,21,," ",,13,8,4,187,,"1,406","12,495"
Gambia,20,,"1 ",,9,10,,8,0.4,849,351
Laos,19,," ",,13,6,,3,,"3,547",488
Belize,18,,"2 ",,16,0,,45,5,"1,043","2,623"
Fiji,18,," ",,14,4,,20,,"1,300","1,450"
"New Caledonia",18,," ",,18,0,,63,,"5,213","18,259"
"Saint Lucia",18,," ",,17,1,,98,,620,"3,376"
"St. Vincent Grenadines",17,," ",,9,8,,153,,137,"1,235"
Nicaragua,16,,"5 ",,7,4,,2,0.8,,
Curaçao,16,,"1 ",,14,1,,98,6,389,"2,371"
Dominica,16,," ",,15,1,,222,,420,"5,834"
Namibia,16,," ",,11,5,,6,,"1,543",607
Burundi,15,,"1 ",,7,7,,1,0.08,284,24
"Saint Kitts and Nevis",15,," ",,14,1,,282,,327,"6,147"
"Falkland Islands",13,," ",,13,0,,"3,736",,402,"115,517"
"Turks and Caicos",12,,"1 ",,8,3,,310,26,109,"2,815"
"Vatican City",12,," ",,2,10,,"14,981",,,
Comoros,11,,"1 ",,,10,,13,1,,
Montserrat,11,,"1 ",,8,2,1,"2,204",200,36,"7,212"
Greenland,11,," ",,11,0,,194,,"1,435","25,277"
Seychelles,11,," ",,10,1,,112,,,
Suriname,10,,"1 ",,9,0,,17,2,404,689
"MS Zaandam",9,,"2 ",,,7,,,,,
Bhutan,9,2," ",,5,4,,12,,"11,673","15,128"
Mauritania,8,,"1 ",,6,1,,2,0.2,"1,842",396
"Papua New Guinea",8,," ",,8,0,,0.9,,"2,402",268
"British Virgin Islands",7,,"1 ",,4,2,,232,33,167,"5,524"
"Caribbean Netherlands",6,," ",,,6,,229,,110,"4,195"
"St. Barth",6,," ",,6,0,,607,,,
"Western Sahara",6,," ",,5,1,,10,,,
Anguilla,3,," ",,3,0,,200,,,
"Saint Pierre Miquelon",1,," ",,,1,,173,,,
China,"82,918",17,"4,633 ",,"78,144",141,9,58,3,,
Total:,"1,500,313","3,548","90,129",142,"322,252","1,087,932","17,683",,,,
Total:,"1,650,808","22,232","153,337",597,"667,871","829,600","13,987",,,,
Total:,"311,000",930,"16,472",88,"108,640","185,888","10,114",,,,
Total:,"678,456","9,723","22,307",118,"376,083","280,066","5,035",,,,
Total:,"65,636",886,"2,302",1,"23,082","40,252",224,,,,
Total:,"8,549",10,118,,"7,661",770,19,,,,
Total:,721,,15,,651,55,4,,,,
Total:,"4,215,483","37,329","284,680",946,"1,506,240","2,424,563","47,066",540.8,36.5,,
Asia,"668,733","17,849","22,189",338,"371,674","274,870","4,995",,,,
"North America","1,496,765","24,384","89,987","1,136","320,723","1,086,055","17,680",,,,
Europe,"1,628,576","22,747","152,740",975,"658,498","817,338","13,992",,,,
"South America","310,070","12,116","16,384",992,"108,625","185,061","10,114",,,,
Africa,"64,750","2,765","2,301",69,"22,643","39,806",235,,,,
Oceania,"8,539",14,118,,"7,630",791,20,,,,
,721,,15,,651,55,4,,,,
World,"4,178,154","79,875","283,734","3,510","1,490,444","2,403,976","47,040",536,36.4,,
China,"82,901",14,"4,633 ",,"78,120",148,13,58,3,,
USA,"1,367,638","20,329","80,787 ",750,"256,336","1,030,515","16,514","4,132",244,"9,444,525","28,533"
Spain,"264,663","1,880","26,621 ",143,"176,439","61,603","1,650","5,661",569,"2,467,761","52,781"
UK,"219,183","3,923","31,855 ",268,N/A,"186,984","1,559","3,229",469,"1,821,280","26,829"
Italy,"219,070",802,"30,560 ",165,"105,186","83,324","1,027","3,623",505,"2,565,912","42,439"
Russia,"209,688","11,012","1,915 ",88,"34,306","173,467","2,300","1,437",13,"5,448,463","37,335"
France,"176,970",312,"26,380 ",70,"56,217","94,373","2,776","2,711",404,"1,384,633","21,213"
Germany,"171,879",555,"7,569 ",20,"144,400","19,910","1,581","2,051",90,"2,755,770","32,891"
Brazil,"162,699","6,638","11,123 ",467,"64,957","86,619","8,318",765,52,"339,552","1,597"
Turkey,"138,657","1,542","3,786 ",47,"92,691","42,180","1,154","1,644",45,"1,370,598","16,251"
Iran,"107,603","1,383","6,640 ",51,"86,143","14,820","2,675","1,281",79,"586,699","6,985"
Canada,"68,848","1,146","4,870 ",177,"32,096","31,882",502,"1,824",129,"1,135,984","30,099"
Peru,"67,307","2,292","1,889 ",75,"21,349","44,069",774,"2,041",57,"504,930","15,314"
India,"67,161","4,353","2,212 ",111,"20,969","43,980",,49,2,"1,609,037","1,166"
Belgium,"53,081",485,"8,656 ",75,"13,642","30,783",476,"4,580",747,"566,101","48,846"
Netherlands,"42,627",245,"5,440 ",18,N/A,"36,937",507,"2,488",317,"254,573","14,857"
"Saudi Arabia","39,048","1,912","246 ",7,"11,457","27,345",143,"1,122",7,"449,644","12,916"
Mexico,"33,460","1,938","3,353 ",193,"21,824","8,283",378,260,26,"128,148",994
Pakistan,"30,334","1,598","659 ",23,"8,063","21,612",111,137,3,"283,517","1,284"
Switzerland,"30,305",54,"1,833 ",3,"26,600","1,872",101,"3,502",212,"309,595","35,772"
Ecuador,"29,559",488,"2,127 ",410,"3,433","23,999",181,"1,675",121,"84,287","4,777"
Chile,"28,866","1,647","312 ",8,"13,112","15,442",544,"1,510",16,"280,684","14,683"
Portugal,"27,581",175,"1,135 ",9,"2,549","23,897",112,"2,705",111,"517,660","50,767"
Sweden,"26,322",401,"3,225 ",5,"4,971","18,126",360,"2,606",319,"148,500","14,704"
Singapore,"23,336",876,"20 ",,"2,721","20,595",23,"3,989",3,"175,604","30,016"
Ireland,"22,996",236,"1,458 ",12,"17,110","4,428",72,"4,657",295,"214,761","43,493"
Belarus,"22,973",921,"131 ",5,"6,406","16,436",92,"2,431",14,"263,543","27,890"
Qatar,"22,520","1,189","14 ",1,"2,753","19,753",72,"7,817",5,"127,769","44,348"
UAE,"18,198",781,"198 ",13,"4,804","13,196",1,"1,840",20,"1,200,000","121,330"
Israel,"16,477",23,"252 ",5,"11,430","4,795",74,"1,904",29,"455,267","52,598"
Poland,"15,996",345,"800 ",15,"5,698","9,498",160,423,21,"476,904","12,601"
Austria,"15,871",38,"618 ",3,"13,991","1,262",72,"1,762",69,"316,508","35,143"
Japan,"15,777",114,"624 ",17,"8,127","7,026",287,125,5,"214,256","1,694"
Romania,"15,362",231,"961 ",22,"7,051","7,350",242,799,50,"256,749","13,346"
Ukraine,"15,232",522,"391 ",15,"3,060","11,781",201,348,9,"176,403","4,034"
Bangladesh,"14,657",887,"228 ",14,"2,650","11,779",1,89,1,"122,657",745
Indonesia,"14,032",387,"973 ",14,"2,698","10,361",,51,4,"158,273",579
Colombia,"11,063",568,"463 ",18,"2,705","7,895",130,217,9,"144,912","2,848"
"S. Korea","10,874",34,"256 ",,"9,610","1,008",55,212,5,"663,886","12,949"
Philippines,"10,794",184,"719 ",15,"1,924","8,151",31,99,7,"163,177","1,489"
Denmark,"10,429",110,"529 ",3,"8,217","1,683",40,"1,801",91,"317,834","54,873"
"Dominican Republic","10,347",465,"388 ",3,"2,763","7,196",134,954,36,"42,615","3,928"
Serbia,"10,114",82,"215 ",2,"3,006","6,893",43,"1,158",25,"140,592","16,091"
"South Africa","10,015",595,"194 ",8,"4,173","5,648",77,169,3,"341,336","5,755"
Egypt,"9,400",436,"525 ",11,"2,075","6,800",41,92,5,"90,000",879
Kuwait,"8,688","1,065","58 ",9,"2,729","5,901",114,"2,034",14,"196,397","45,988"
Panama,"8,282",212,"237 ",6,"4,501","3,544",85,"1,919",55,"40,356","9,353"
Czechia,"8,123",28,"280 ",4,"4,474","3,369",40,759,26,"302,493","28,247"
Norway,"8,105",6,"219 ",,32,"7,854",22,"1,495",40,"195,921","36,140"
Australia,"6,941",12,"97 ",,"6,163",681,17,272,4,"827,872","32,466"
Malaysia,"6,656",67,"108 ",,"5,025","1,523",18,206,3,"256,937","7,938"
Morocco,"6,063",153,"188 ",2,"2,554","3,321",1,164,5,"65,924","1,786"
Argentina,"6,034",258,"305 ",5,"1,757","3,972",148,134,7,"83,018","1,837"
Finland,"5,962",82,"267 ",2,"4,000","1,695",45,"1,076",48,"121,500","21,929"
Algeria,"5,723",165,"502 ",8,"2,678","2,543",22,131,11,"6,500",148
Kazakhstan,"5,090",115,"31 ",,"1,941","3,118",31,271,2,"398,411","21,218"
Bahrain,"4,941",167,"8 ",,"2,070","2,863",2,"2,904",5,"184,029","108,152"
Moldova,"4,927",60,"169 ",8,"1,958","2,800",237,"1,221",42,"20,447","5,069"
Afghanistan,"4,402",369,"120 ",5,558,"3,724",7,113,3,"15,560",400
Nigeria,"4,399",248,"143 ",15,778,"3,478",4,21,0.7,"23,835",116
Ghana,"4,263",,"22 ",,378,"3,863",5,137,0.7,"155,201","4,995"
Luxembourg,"3,886",9,"101 ",,"3,586",199,14,"6,208",161,"55,250","88,262"
Oman,"3,399",175,"17 ",,"1,117","2,265",17,666,3,"50,000","9,791"
Armenia,"3,313",138,"45 ",1,"1,325","1,943",10,"1,118",15,"31,590","10,661"
Hungary,"3,263",50,"413 ",8,933,"1,917",50,338,43,"108,257","11,206"
Thailand,"3,009",5,"56 ",,"2,794",159,61,43,0.8,"227,860","3,264"
Iraq,"2,767",88,"109 ",2,"1,734",924,,69,3,"127,153","3,161"
Greece,"2,716",6,"151 ",,"1,374","1,191",30,261,14,"98,897","9,488"
Cameroon,"2,579",305,"114 ",6,"1,465","1,000",28,97,4,,
Azerbaijan,"2,519",97,"32 ",1,"1,650",837,33,248,3,"193,411","19,076"
Bolivia,"2,437",171,"114 ",8,258,"2,065",3,209,10,"7,651",655
Uzbekistan,"2,418",69,"10 ",,"1,881",527,8,72,0.3,"325,000","9,710"
Croatia,"2,187",11,"90 ",3,"1,764",333,13,533,22,"44,886","10,934"
Guinea,"2,146",104,"11 ",,714,"1,421",,163,0.8,,
"Bosnia and Herzegovina","2,117",27,"107 ",5,"1,106",904,4,645,33,"41,282","12,583"
Bulgaria,"1,965",44,"91 ",1,444,"1,430",58,283,13,"57,231","8,237"
Honduras,"1,830",59,"108 ",1,195,"1,527",10,185,11,"5,653",571
Iceland,"1,801",,"10 ",,"1,773",18,,"5,278",29,"54,195","158,816"
Cuba,"1,766",12,"77 ",3,"1,193",496,5,156,7,"67,335","5,945"
Estonia,"1,739",6,"60 ",,750,929,5,"1,311",45,"63,372","47,773"
Senegal,"1,709",75,"19 ",2,650,"1,040",6,102,1,"18,969","1,133"
"Ivory Coast","1,700",33,"21 ",,794,885,,64,0.8,"13,663",518
"North Macedonia","1,642",20,"91 ",,"1,136",415,21,788,44,"18,821","9,034"
"New Zealand","1,494",2,"21 ",,"1,371",102,2,310,4,"190,326","39,468"
Lithuania,"1,479",35,"50 ",1,828,601,17,543,18,"183,913","67,558"
Slovenia,"1,457",3,"102 ",1,256,"1,099",10,701,49,"62,828","30,221"
Slovakia,"1,457",2,"26 ",,941,490,5,267,5,"119,859","21,954"
Sudan,"1,365",201,"70 ",6,149,"1,146",,31,2,,
Djibouti,"1,210",21,"3 ",,847,360,,"1,225",3,"15,304","15,490"
Somalia,"1,054",57,"51 ",3,118,885,2,66,3,,
"Hong Kong","1,048",3,"4 ",,982,62,1,140,0.5,"168,291","22,448"
Tunisia,"1,032",,"45 ",,660,327,19,87,4,"29,297","2,479"
Mayotte,"1,023",35,"11 ",,492,520,9,"3,750",40,"4,000","14,662"
Kyrgyzstan,"1,002",71,"12 ",,675,315,13,154,2,"59,490","9,118"
DRC,991,54,"41 ",2,136,814,,11,0.5,,
Guatemala,967,67,"24 ",,104,839,5,54,1,"7,200",402
Latvia,939,9,"18 ",,464,457,2,498,10,"76,592","40,607"
Cyprus,898,6,"16 ",1,401,481,10,744,13,"76,139","63,062"
"El Salvador",889,105,"17 ",,293,579,4,137,3,"41,090","6,335"
Albania,868,12,"31 ",,650,187,7,302,11,"10,438","3,627"
"Sri Lanka",856,9,"9 ",,321,526,1,40,0.4,"35,323","1,650"
Lebanon,845,36,"26 ",,234,585,4,124,4,"51,182","7,499"
Maldives,835,45,"3 ",,29,803,2,"1,545",6,"11,775","21,784"
Niger,821,6,"46 ",1,624,151,,34,2,"5,562",230
"Costa Rica",792,12,"6 ",,501,285,6,155,1,"17,170","3,371"
Andorra,755,1,"48 ",,550,157,14,"9,772",621,"1,673","21,653"
"Burkina Faso",751,3,"49 ",1,577,125,,36,2,,
Guinea-Bissau,726,85,"3 ",,26,697,,369,2,"1,500",762
Paraguay,713,24,"10 ",,165,538,,100,1,"15,446","2,166"
"Diamond Princess",712,,"13 ",,651,48,4,,,,
Uruguay,707,5,"19 ",1,517,171,8,204,5,"28,024","8,067"
Mali,704,12,"38 ",1,351,315,,35,2,"2,172",107
Kenya,672,23,"32 ",2,239,401,1,12,0.6,"31,041",577
Gabon,661,,"8 ",,110,543,1,297,4,724,325
Georgia,635,9,"10 ",,309,316,6,159,3,"29,736","7,454"
"San Marino",628,,"41 ",,126,461,3,"18,508","1,208","2,956","87,118"
Tajikistan,612,,"20 ",,,592,,64,2,,
"Channel Islands",545,,"41 ",,447,57,,"3,135",236,"5,342","30,725"
Jordan,540,18,"9 ",,389,142,5,53,0.9,"111,285","10,907"
