Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recov,Active_cases,Serious_critical,Total_cases_1mio,Deaths_1miopop,Total_tests,Tests_1miopop
Belize,18,,"2 ",,16,0,,45,5,"1,043","2,623"
Fiji,18,," ",,14,4,,20,,"1,300","1,450"
"New Caledonia",18,," ",,18,0,,63,,"5,454","19,103"
"Saint Lucia",18,," ",,18,0,,98,,727,"3,959"
"St. Vincent Grenadines",17,," ",,12,5,,153,,155,"1,397"
Mauritania,16,1,"2 ",,6,8,,3,0.4,"2,015",433
Curaçao,16,,"1 ",,14,1,,98,6,389,"2,371"
Dominica,16,," ",,15,1,,222,,420,"5,834"
Namibia,16,," ",,11,5,,6,,"1,543",607
Burundi,15,,"1 ",,7,7,,1,0.08,284,24
Bhutan,15,4," ",,5,10,,19,,"12,932","16,760"
"Saint Kitts and Nevis",15,," ",,14,1,,282,,327,"6,147"
"Falkland Islands",13,," ",,13,0,,"3,736",,402,"115,517"
"Turks and Caicos",12,,"1 ",,10,1,,310,26,109,"2,815"
"Vatican City",12,," ",,2,10,,"14,981",,,
Comoros,11,,"1 ",,,10,,13,1,,
Montserrat,11,,"1 ",,8,2,1,"2,204",200,36,"7,212"
Greenland,11,," ",,11,0,,194,,"1,520","26,775"
Seychelles,11,," ",,10,1,,112,,,
Suriname,10,,"1 ",,9,0,,17,2,404,689
"MS Zaandam",9,,"2 ",,,7,,,,,
"Papua New Guinea",8,," ",,8,0,,0.9,,"2,402",268
"British Virgin Islands",7,,"1 ",,4,2,,232,33,167,"5,524"
"Caribbean Netherlands",6,," ",,6,0,,229,,357,"13,614"
"St. Barth",6,," ",,6,0,,607,,,
"Western Sahara",6,," ",,6,0,,10,,,
Anguilla,3,," ",,3,0,,200,,,
Lesotho,1,," ",,,1,,0.5,,,
"Saint Pierre Miquelon",1,," ",,1,0,,173,,,
China,"82,929",3,"4,633 ",,"78,195",101,9,58,3,,
Total:,"1,572,319","2,433","95,770",303,"385,324","1,091,225","17,528",,,,
Total:,"1,706,795","10,474","157,492",119,"712,213","837,090","13,053",,,,
Total:,"356,455","1,164","19,121",96,"127,918","209,416","10,124",,,,
Total:,"723,013","2,130","23,271",12,"407,771","291,971","4,944",,,,
Total:,"73,974",1,"2,507",,"26,250","45,217",258,,,,
Total:,"8,590",9,119,,"7,806",665,21,,,,
Total:,721,,15,,651,55,4,,,,
Total:,"4,441,867","16,211","298,295",530,"1,667,933","2,475,639","45,932",569.9,38.3,,
Asia,"720,883","19,351","23,259",408,"406,782","290,842","4,945",,,,
"North America","1,569,886","25,450","95,467","2,277","384,152","1,090,267","17,524",,,,
Europe,"1,696,321","20,745","157,373","1,611","704,220","834,728","13,046",,,,
"South America","355,291","19,667","19,025",917,"127,892","208,374","10,124",,,,
Africa,"73,973","2,991","2,507",100,"26,250","45,216",258,,,,
Oceania,"8,581",16,119,1,"7,771",691,20,,,,
,721,,15,,651,55,4,,,,
World,"4,425,656","88,220","297,765","5,314","1,657,718","2,470,173","45,921",568,38.2,,
China,"82,926",7,"4,633 ",,"78,189",104,10,58,3,,
USA,"1,430,348","21,712","85,197 ","1,772","310,259","1,034,892","16,349","4,321",257,"10,269,996","31,027"
Spain,"271,095","1,575","27,104 ",184,"183,227","60,764","1,534","5,798",580,"2,467,761","52,781"
Russia,"242,271","10,028","2,212 ",96,"48,003","192,056","2,300","1,660",15,"5,982,558","40,995"
UK,"229,705","3,242","33,186 ",494,N/A,"196,175","1,559","3,384",489,"2,094,209","30,849"
Italy,"222,104",888,"31,106 ",195,"112,541","78,457",893,"3,673",514,"2,735,628","45,246"
Brazil,"189,157","11,555","13,158 ",754,"78,424","97,575","8,318",890,62,"735,224","3,459"
France,"178,060",,"27,074 ",83,"58,673","92,313","2,428","2,728",415,"1,384,633","21,213"
Germany,"174,098",927,"7,861 ",123,"148,700","17,537","1,465","2,078",94,"3,147,771","37,570"
Turkey,"143,114","1,639","3,952 ",58,"101,715","37,447",998,"1,697",47,"1,474,003","17,477"
Iran,"112,725","1,958","6,783 ",50,"89,428","16,514","2,735","1,342",81,"629,534","7,495"
India,"78,055","3,763","2,551 ",136,"26,400","49,104",,57,2,"1,854,250","1,344"
Peru,"76,306","4,247","2,169 ",112,"24,324","49,813",806,"2,314",66,"553,302","16,781"
Canada,"72,278","1,121","5,302 ",133,"35,164","31,812",502,"1,915",140,"1,169,380","30,983"
Belgium,"53,981",202,"8,843 ",82,"13,937","31,201",420,"4,658",763,"605,237","52,222"
"Saudi Arabia","44,830","1,905","273 ",9,"17,622","26,935",147,"1,288",8,"496,948","14,274"
Netherlands,"43,211",227,"5,562 ",52,N/A,"37,399",432,"2,522",325,"275,720","16,091"
Mexico,"38,324","1,997","3,926 ",353,"25,935","8,463",378,297,30,"142,204","1,103"
Pakistan,"35,298","2,624","761 ",37,"8,899","25,638",111,160,3,"317,699","1,438"
Chile,"34,381","2,660","346 ",11,"14,865","19,170",494,"1,799",18,"313,750","16,413"
Ecuador,"30,486",67,"2,334 ",7,"3,433","24,719",190,"1,728",132,"87,036","4,933"
Switzerland,"30,413",33,"1,870 ",3,"27,100","1,443",79,"3,514",216,"322,084","37,215"
Portugal,"28,132",219,"1,175 ",12,"3,182","23,775",103,"2,759",115,"566,172","55,525"
Sweden,"27,909",637,"3,460 ",147,"4,971","19,478",351,"2,763",343,"177,500","17,576"
Qatar,"26,539","1,390","14 ",,"3,143","23,382",72,"9,212",5,"139,127","48,290"
Belarus,"25,825",952,"146 ",4,"7,711","17,968",92,"2,733",15,"296,380","31,365"
Singapore,"25,346",675,"21 ",,"4,809","20,516",19,"4,332",4,"224,262","38,333"
Ireland,"23,401",159,"1,497 ",9,"19,470","2,434",69,"4,739",303,"258,808","52,414"
UAE,"20,386",725,"206 ",3,"6,523","13,657",1,"2,061",21,"1,500,000","151,662"
Bangladesh,"17,822","1,162","269 ",19,"3,361","14,192",1,108,2,"144,538",878
Poland,"17,204",283,"861 ",22,"6,410","9,933",160,455,23,"528,122","13,954"
Israel,"16,548",19,"264 ",4,"12,232","4,052",61,"1,912",31,"477,151","55,127"
Ukraine,"16,425",402,"439 ",14,"3,716","12,270",218,376,10,"192,247","4,396"
Japan,"16,049",81,"678 ",21,"8,920","6,451",243,127,5,"223,667","1,768"
Romania,"16,002",224,"1,036 ",34,"7,961","7,005",228,832,54,"277,804","14,441"
Austria,"15,997",36,"624 ",1,"14,304","1,069",55,"1,776",69,"336,252","37,335"
Indonesia,"15,438",689,"1,028 ",21,"3,287","11,123",,56,4,"169,195",619
Colombia,"12,930",658,"509 ",16,"3,133","9,288",130,254,10,"165,738","3,257"
"South Africa","12,074",724,"219 ",13,"4,745","7,110",119,204,4,"386,352","6,514"
Philippines,"11,618",268,"772 ",21,"2,251","8,595",77,106,7,"188,649","1,722"
"Dominican Republic","11,196",296,"409 ",7,"3,221","7,566",131,"1,032",38,"42,615","3,928"
Kuwait,"11,028",751,"82 ",7,"3,263","7,683",169,"2,582",19,"227,000","53,154"
"S. Korea","10,962",26,"259 ",1,"9,695","1,008",55,214,5,"695,920","13,574"
Denmark,"10,667",76,"533 ",6,"8,663","1,471",37,"1,842",92,"345,712","59,686"
Egypt,"10,431",338,"556 ",12,"2,486","7,389",41,102,5,"90,000",879
Serbia,"10,295",52,"222 ",2,"3,824","6,249",22,"1,178",25,"156,603","17,923"
Panama,"8,783",167,"252 ",3,"6,021","2,510",87,"2,036",58,"44,561","10,328"
Czechia,"8,269",71,"290 ",7,"5,047","2,932",43,772,27,"326,954","30,531"
Norway,"8,175",18,"229 ",1,32,"7,914",23,"1,508",42,"208,874","38,529"
Australia,"6,980",16,"98 ",1,"6,271",611,17,274,4,"909,025","35,648"
Argentina,"6,879",316,"329 ",10,"2,266","4,284",170,152,7,"90,474","2,002"
Malaysia,"6,779",37,"111 ",2,"5,281","1,387",16,209,3,"271,721","8,395"
Morocco,"6,512",94,"188 ",,"3,131","3,193",1,176,5,"75,870","2,056"
Algeria,"6,253",186,"522 ",7,"3,058","2,673",22,143,12,"6,500",148
Finland,"6,054",51,"284 ",9,"4,300","1,470",35,"1,093",51,"133,200","24,040"
Bahrain,"5,816",285,"10 ",1,"2,205","3,601",6,"3,418",6,"205,570","120,812"
Kazakhstan,"5,417",138,"32 ",,"2,408","2,977",31,288,2,"439,495","23,406"
Ghana,"5,408",281,"24 ",2,514,"4,870",5,174,0.8,"164,452","5,292"
Moldova,"5,406",252,"185 ",3,"2,176","3,045",251,"1,340",46,"20,447","5,069"
Afghanistan,"5,226",263,"132 ",5,648,"4,446",7,134,3,"18,724",481
Nigeria,"4,971",184,"164 ",6,"1,070","3,737",7,24,0.8,"29,408",143
Oman,"4,019",298,"17 ",,"1,289","2,713",27,787,3,"50,000","9,791"
Luxembourg,"3,904",10,"103 ",1,"3,629",172,22,"6,237",165,"57,687","92,155"
Armenia,"3,718",180,"48 ",1,"1,500","2,170",10,"1,255",16,"34,766","11,732"
Hungary,"3,341",28,"430 ",5,"1,102","1,809",45,346,45,"118,500","12,267"
Iraq,"3,032",119,"115 ",3,"1,966",951,,75,3,"136,640","3,397"
Thailand,"3,017",,"56 ",,"2,844",117,61,43,0.8,"286,008","4,098"
Bolivia,"2,964",133,"128 ",6,313,"2,523",3,254,11,"7,651",655
Cameroon,"2,800",111,"136 ",11,"1,543","1,121",28,105,5,,
Greece,"2,760",16,"155 ",3,"1,374","1,231",28,265,15,"112,042","10,749"
Azerbaijan,"2,758",65,"35 ",2,"1,789",934,30,272,3,"208,546","20,568"
Uzbekistan,"2,612",93,"11 ",1,"2,076",525,8,78,0.3,"325,000","9,710"
Guinea,"2,374",76,"14 ",3,856,"1,504",,181,1,,
Croatia,"2,213",6,"94 ",3,"1,834",285,9,539,23,"48,737","11,872"
"Bosnia and Herzegovina","2,181",23,"120 ",3,"1,228",833,4,665,37,"44,380","13,527"
Senegal,"2,105",110,"21 ",2,782,"1,302",6,126,1,"24,599","1,469"
Honduras,"2,080",,"121 ",5,211,"1,748",10,210,12,"5,653",571
Bulgaria,"2,069",46,"96 ",1,499,"1,474",51,298,14,"60,100","8,649"
"Ivory Coast","1,912",55,"24 ",3,902,986,,72,0.9,"15,260",579
Sudan,"1,818",157,"90 ",10,198,"1,530",,41,2,,
Cuba,"1,810",6,"79 ",1,"1,326",405,7,160,7,"73,129","6,456"
Iceland,"1,802",1,"10 ",,"1,780",12,,"5,281",29,"55,075","161,395"
Estonia,"1,751",5,"61 ",,777,913,5,"1,320",46,"66,102","49,831"
"North Macedonia","1,694",20,"95 ",3,"1,229",370,21,813,46,"19,739","9,475"
Lithuania,"1,505",14,"54 ",4,908,543,17,553,20,"200,264","73,565"
"New Zealand","1,497",,"21 ",,"1,402",74,2,310,4,"203,045","42,106"
Slovakia,"1,469",4,"27 ",,"1,060",382,6,269,5,"127,034","23,268"
Slovenia,"1,463",2,"103 ",1,260,"1,100",9,704,50,"65,694","31,600"
Djibouti,"1,268",12,"3 ",,900,365,,"1,283",3,"16,424","16,623"
Somalia,"1,219",49,"52 ",,130,"1,037",2,77,3,,
Guatemala,"1,199",85,"27 ",1,120,"1,052",5,67,2,"7,200",402
DRC,"1,169",67,"50 ",6,148,971,,13,0.6,,
Mayotte,"1,143",48,"14 ",2,627,502,6,"4,190",51,"4,800","17,594"
"Hong Kong","1,051",3,"4 ",,"1,008",39,1,140,0.5,"168,291","22,448"
Kyrgyzstan,"1,044",7,"12 ",,726,306,13,160,2,"59,490","9,118"
"El Salvador","1,037",39,"20 ",,374,643,15,160,3,"46,831","7,220"
Tunisia,"1,032",,"45 ",,759,228,5,87,4,"34,323","2,904"
Gabon,"1,004",141,"9 ",,152,843,1,451,4,"5,530","2,485"
Maldives,955,51,"4 ",1,40,911,2,"1,767",7,"11,775","21,784"
Latvia,951,1,"19 ",1,627,305,2,504,10,"81,246","43,074"
Cyprus,905,2,"17 ",1,449,439,10,750,14,"80,284","66,496"
"Sri Lanka",893,4,"9 ",,382,502,1,42,0.4,"38,740","1,809"
Albania,880,4,"31 ",,688,161,1,306,11,"11,048","3,839"
Lebanon,878,8,"26 ",,236,616,4,129,4,"54,694","8,013"
Niger,860,6,"49 ",2,658,153,,36,2,"5,691",235
Guinea-Bissau,836,16,"3 ",,26,807,,425,2,"1,500",762
"Costa Rica",815,11,"7 ",,527,281,6,160,1,"18,040","3,541"
Tajikistan,801,72,"23 ",2,,778,,84,2,,
"Burkina Faso",773,7,"51 ",,592,130,,37,2,,
Andorra,760,2,"49 ",1,576,135,3,"9,836",634,"1,673","21,653"
Mali,758,28,"44 ",4,412,302,,37,2,"2,498",123
Paraguay,740,3,"11 ",1,182,547,,104,2,"17,589","2,466"
Kenya,737,22,"40 ",4,281,416,1,14,0.7,"35,432",659
Uruguay,719,2,"19 ",,545,155,8,207,5,"30,209","8,696"
"Diamond Princess",712,,"13 ",,651,48,4,,,,
Georgia,647,5,"11 ",,372,264,6,162,3,"33,505","8,399"
"San Marino",643,5,"41 ",,161,441,2,"18,950","1,208","3,201","94,339"
Jordan,582,6,"9 ",,392,181,5,57,0.9,"127,307","12,477"
